time_label,time,import,export,deposit_rate,policy_rate,fiscal_balance,real_gdp,cpi_inflation_qoq,ppi_index,electricity_prod_growth,manufacturing_prod_growth,mining_prod_growth,industrial_prod_sa,unemployment,labor_index,labor_force
2002Q2,2002.25,35806.1480088357,39762.4787677662,48.7066666666667,48.0,,196536.670731405,4.05560911862804,44.7689621801566,-5.04625735912531,14.8148148148148,-2.46132208157525,2.66240681576144,,,
2002Q3,2002.5,38896.29388458,42054.9241958064,49.4766666666667,46.0,,199222.281498674,4.72521737726032,47.5314340736581,8.23737821080603,1.97710718002083,7.858687815429,1.76348547717843,,,
2002Q4,2002.75,41316.622556101,43299.5478956826,46.3533333333333,44.0,,203472.95841523,9.06873718556389,51.3643570696991,0.736497545008184,-0.612244897959182,-8.75668449197862,0.203873598369022,,,
2003Q1,2003.0,42799.5512243831,42059.7101428942,45.9366666666667,44.0,,203643.063228081,6.45953698054948,57.2335964145499,4.22420796100732,-4.82546201232034,-9.52380952380951,4.78128179043741,,,
2003Q2,2003.25,43664.4730156465,41107.1954477532,42.08,38.23,,204327.969790663,3.50373547315994,57.4089881395448,-5.61184723304753,9.06148867313916,-4.21052631578949,-1.65048543689318,,,
2003Q3,2003.5,49457.9650188195,47625.6091248822,34.7433333333333,30.66,,210153.794218059,0.738512949039288,57.5265584167392,10.9826589595376,7.12166172106825,39.475908706678,6.91016781836129,,,
2003Q4,2003.75,52133.6059845116,46053.6936930528,27.9533333333333,26.0,,216506.770898949,2.89258939826174,59.1205029944403,-0.669642857142857,-0.18467220683288,-14.3030303030303,0.184672206832881,,,
2004Q1,2004.0,55344.9136131163,46879.3521305392,24.78,22.0,,222469.980073596,2.0439744664389,62.1773302014945,2.39700374531836,-4.07030527289544,-21.2164073550212,3.31797235023041,,,
2004Q2,2004.25,57405.964123308,48875.6257951879,24.0966666666667,22.0,,227649.750602251,1.55756350309615,65.9974005195157,-4.02340892465254,14.2719382835101,16.9658886894075,4.10347903657448,,,
2004Q3,2004.5,56625.4335191864,50436.5984980955,24.68,20.0,,230217.026334287,1.36257582827811,67.4159533722218,9.60365853658537,-0.675105485232074,35.3031465848043,0.599828620394164,,,
2004Q4,2004.75,58606.244937772,52165.9536165695,23.48,18.0,,233952.26230602,4.16167940336986,69.3838099790329,-1.9471488178025,-4.33305012744265,-13.6698808848554,-4.00340715502554,,,
2005Q1,2005.0,60893.2475454095,52792.3479511648,20.6733333333333,15.5,,244737.348391681,1.30233654497772,68.9385848309689,2.48226950354611,2.57548845470693,-9.7897503285151,14.1969831410825,10.2666666666667,,
2005Q2,2005.25,62280.9595697725,51891.5304305016,20.02,14.25,,245770.530276523,1.5473662778861,70.3609924468618,-3.18339100346022,12.3809523809524,9.54115076474871,-0.62160062160063,8.93333333333333,,
2005Q3,2005.5,64558.2583561542,53946.8012999096,20.4766666666667,14.25,,249240.73953168,0.70747286111189,70.3282269597748,10.8649035025018,3.00462249614792,15.8909574468085,3.7529319781079,8.96666666666667,,
2005Q4,2005.75,67931.9977011393,56253.0896512296,20.4166666666667,13.5,,257482.642647953,3.87940841865759,70.9604081223938,-1.28949065119278,7.10545998504112,-6.36833046471601,2.93896006028636,9.86666666666667,,
