@frequency,dataset_code,dataset_name,FREQ,Frequency,indexed_at,Indicator,INDICATOR,original_period,original_value,period,provider_code,REF_AREA,Reference Area,series_code,series_name,value
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2004-Q3,56625.43351919,12600.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",56625.4335191864
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2004-Q4,58606.24493777,12692.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",58606.244937772
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2005-Q1,60893.24754541,12784.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",60893.2475454095
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2005-Q2,62280.95956977,12874.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",62280.9595697725
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2005-Q3,64558.25835615,12965.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",64558.2583561542
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2005-Q4,67931.99770114,13057.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",67931.9977011393
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2006-Q1,68458.78610309,13149.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",68458.7861030885
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2006-Q2,70114.06093633,13239.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",70114.0609363321
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2006-Q3,66586.3332539,13330.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",66586.3332539031
quarterly,IFS,International Financial Statistics (IFS),Q,Quarterly,1756178234.422,"Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency",NM_R_SA_XDC,2006-Q4,69013.25954962,13422.0,IMF,TR,Türkiye,Q.TR.NM_R_SA_XDC,"Quarterly – Türkiye – Imports of Goods and Services, Real, Seasonally Adjusted, Domestic Currency, Millions",69013.2595496169
