,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26
bist,0.06940455189300232,0.03720019271940201,0.012614602250444461,-0.15587557307592437,-0.11133247362173104,0.3076984158661129,0.16989268620590442,-0.27493143758204247,0.6318787565411466,0.33106336104705664,-0.34590554510060584,0.23842003514608456,0.029833614561506225,-0.035631816779647676,-0.1234184976111502,-0.07405527120996322,-0.1607383344332333,-0.09211932084208785,-0.09832618898132142,-0.04158610705140261,-0.01767672497256578,-0.00594906749971546,0.026470619424174058,-0.052163199265759005,-0.007749091649286927,0.004949823514812917
m2,0.16714871927968525,0.17535352077433697,0.03813670956144926,-0.1694148516186863,0.03989999184035238,0.4878602961746641,0.2138686991579143,-0.0478580886550642,-0.3138110246126869,-0.0069314347962069955,0.12317675681568482,0.017439462346446333,-0.15589509212989508,0.08218964354928718,0.10772799478224009,0.03640991190132655,-0.09390434139409849,0.3931692745639032,-0.2251427090818116,-0.4271488178248197,0.12327455744656218,0.10885169962938852,-0.07534332718966075,-0.1744100577335248,0.07618086308090191,-0.0067458736827067985
manufacturing_prod_growth,-0.12229435841907858,0.313899569020352,-0.01628349622418131,-0.2228254722039184,0.06905782427327539,0.042956386250868284,-0.3805046358710227,0.3876416243422911,0.1423489100192639,0.07113728432748555,-0.002686007806624618,0.0619859567355577,-0.14675582625250308,0.0568049389617667,-0.17023591638971314,0.023086197850592922,-0.06594365650721044,0.13712344753317995,0.026047609834599708,0.18089255226994488,0.5725999485391753,0.04036542829094587,0.25038531630874944,-0.03527648986879876,-0.008450497458911037,-0.03767675088641841
usd,0.24543773852427453,0.08129156687484897,-0.17011978277943957,-0.28574994771285434,-0.20793465801856492,-0.18959745306300502,-0.14729112807797695,-0.14147248315600555,-0.14005587682102266,-0.11496504677862714,-0.1516639986359059,0.0710312736521636,-0.1665758141268271,-0.10994965277060852,-0.09578834680357823,-0.0560247300054312,-0.037566173053426716,0.24938513842291143,-0.11897216141202346,0.10865318961669666,-0.4085331825029164,0.26072510081817263,0.4889104731387344,0.14617527578813955,-0.02083917763143629,-0.057952684165722496
real_gdp,-0.1981833762650246,0.3740942101635353,0.053883013110945385,0.1556336604917474,-0.17241018418520535,0.09909120129283958,-0.07736543904265143,-0.042494746403430934,-0.02285432734469182,-0.024754230027435865,0.0873808387061472,-0.09784804123340371,0.07402351076953244,-0.17237991002937503,-0.26155047095224154,0.037919213256465904,-0.1402491436749163,-0.06167948379587486,-0.07842708284802069,0.17631895649752258,-0.12210046677051424,0.5986838205822709,-0.42846770140709184,0.05286114392223749,-0.043016764982499345,0.025632294433850733
export,-0.08708858397611266,0.3441902543669331,0.038976388589798294,0.1547484084588744,-0.2146883928613791,-0.08060004385358209,-0.10316822363962679,-0.13896756080829575,-0.15349218573959225,-0.1308399559197429,0.036489535231558165,0.7055563452314592,0.21272609020247735,0.0699224830532954,0.36916124159121383,-0.11915755591544079,-0.0014684542070914175,-0.10654885113864256,-0.029734046053092714,0.000605450433965032,0.06732227046355443,-0.07591950713452472,0.027747377452386805,-0.03497166876468774,-0.0076703205157786945,-0.030197381229677585
import,-0.17164093484290524,0.31570060049583637,0.1547089467263202,0.20678147517006143,-0.14957537391217,0.156712396741488,-0.003354286842473209,0.023238098922920468,0.1911579541191189,-0.032403968383950287,-0.05338115647308262,-0.2630714112080585,-0.21364390989292908,-0.054342216484648105,0.16184123517415674,-0.1928478262536601,0.6261514174217885,0.0978619364225535,-0.25629484729322816,0.0628156379969157,-0.1328474939717523,-0.17385606400503886,0.10310993069226147,0.03565932755380172,0.0577013481259497,0.026203156282009393
eur,0.23535094561166686,0.11149984755508811,-0.1803195953936962,-0.2644320563560037,-0.21471178617192868,-0.23305595816763064,-0.11693434911790705,-0.16066941401233573,-0.10923450267205585,-0.14998239590566664,-0.12010022495104344,-0.015765697684929185,-0.0849945844902898,-0.1834270611240451,-0.3101722525863534,-0.15827047645069225,0.09524524569903735,-0.024988176432009727,-0.15550939053656826,-0.05584128993872105,0.19700651495205795,-0.40476976421566313,-0.4824849825723338,-0.010673967438317231,0.06872582275210995,0.03649267623440385
ppi_index,0.2580582382837157,0.11937422204140272,0.21189338728573942,-0.12256063054197981,-0.07050478162546257,-0.20812721714011156,-0.15082611291931886,-0.08843505163750263,0.07881179403956788,0.07490729192062555,-0.05848877017552964,-0.0930819588027073,0.2590278905208619,0.40507672700950453,0.006718657125701854,0.6134880494305274,0.2576815378347733,-0.09644898840972582,-0.21509506657060348,-0.11233322823005942,0.01780665988982656,0.10395094839506869,-0.025927093967219067,-0.03884832614334038,0.016021153074078264,0.02698118086330671
unemployment,-0.1615891912494691,-0.15829925411035126,-0.34887695009653813,0.04255443217083507,-0.33212868787090033,0.10424183163012957,0.029059312512982795,-0.03969535549354305,0.11361236423086765,-0.1122720428402625,0.09897406097396488,-0.009003147201977897,-0.10186776934442361,0.701074448361901,-0.04428294935352837,-0.08306136949442312,-0.044213033504842736,0.2084296624074235,0.03441244983927011,0.13657877086910783,-3.037110470449599e-05,-0.016420798128599617,-0.1539856429107498,0.2521797984096175,0.006626192938966134,-0.05215854083155695
